# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
GetAuctionItemClasses | ... = GetAuctionItemClasses() | Returns a list of localized item class (category) names. Item classes are the first level of hierarchy seen when browsin
GetAuctionItemInfo | name, texture, count, quality, canUse, level, minBid, minIncrement, buyoutPrice, bidAmount, highestBidder, owner, sold = GetAuctionItemInfo("list", index) | Returns information about an auction listing
GetAuctionItemLink | link = GetAuctionItemLink("list", index) | Returns a hyperlink for an item in an auction listing
GetAuctionItemSubClasses | ... = GetAuctionItemSubClasses(classIndex) | Returns a list of localized subclass names for a given item class. Item subclasses are the second level of hierarchy see
GetAuctionItemTimeLeft | duration = GetAuctionItemTimeLeft("list", index) | Returns the time remaining before an auction listing expires
GetAuctionSellItemInfo | name, texture, count, quality, canUse, price = GetAuctionSellItemInfo() | Returns information about the item currently being set up for auction. Only returns useful information once an item has 
GetAuctionSort | criterion, reverse = GetAuctionSort("list", index) | Returns the current sort settings for auction data. The `index` argument describes priority order for sort criteria: e.g
GetAutoCompleteResults | ... = GetAutoCompleteResults("inputString", includeBitfield, excludeBitfield, maxResults [, cursorPosition]) | Returns a list of character names which complete a given partial name prefix
GetAvailableLevel | level = GetAvailableLevel(index) | Returns the level of a quest available from the current Quest NPC. Only returns valid information after a `QUEST_GREETIN
GetAvailableQuestInfo | isTrivial, isDaily, isRepeatable = GetAvailableQuestInfo(availableIndex) | Returns the flags of an available quest during an NPC dialog
GetAvailableTitle | title = GetAvailableTitle(index) | Returns the name of a quest available from the current Quest NPC. Only returns valid information after a `QUEST_GREETING
GetBackpackCurrencyInfo | name, count, extraCurrencyType, icon, itemID = GetBackpackCurrencyInfo(index) | Returns information about a currency marked for watching on the Backpack UI
GetBagName | name = GetBagName(container) | Returns the name of one of the player's bags. Returns nil for the bank and keyring, for bank bags while the player is no
GetBankSlotCost | cost = GetBankSlotCost() | Returns the cost of the next purchasable bank bag slot. Returns `999999999` if the player owns all available slots.
GetBarberShopStyleInfo | name, unused, cost, isCurrent = GetBarberShopStyleInfo(styleIndex) | Returns information about the selected barber shop style option
GetBarberShopTotalCost | cost = GetBarberShopTotalCost() | Returns the total price of selected barber shop style changes
GetBattlefieldEstimatedWaitTime | waitTime = GetBattlefieldEstimatedWaitTime(index) | Returns the estimated wait time on a battleground or arena queue
GetBattlefieldFlagPosition | flagX, flagY, flagToken = GetBattlefieldFlagPosition(index) | Returns the position of a flag in a battleground
GetBattlefieldInstanceExpiration | timeLeft = GetBattlefieldInstanceExpiration() | Returns the amount of time remaining before all players are removed from the instance, if in a battleground instance whe
GetBattlefieldInstanceInfo | instanceID = GetBattlefieldInstanceInfo(index) | Returns a numeric ID for a battleground instance in the battleground queueing list. This number is seen in the instance 
GetBattlefieldInstanceRunTime | time = GetBattlefieldInstanceRunTime() | Returns the amount of time since the current battleground instance opened
GetBattlefieldMapIconScale | scale = GetBattlefieldMapIconScale() | Returns the scale to be used for displaying battleground map icons. Used in the default UI to determine the size of the 
GetBattlefieldPortExpiration | expiration = GetBattlefieldPortExpiration(index) | Returns the time left on a battleground or arena invitation
GetBattlefieldPosition | unitX, unitY, name = GetBattlefieldPosition(index) | Returns the position of a battleground team member not in the player's group. Still used in the default UI but no longer
GetBattlefieldScore | name, killingBlows, honorableKills, deaths, honorGained, faction, race, class, classToken, damageDone, healingDone, bgRating, ratingChange, preMatchMMR, mmrChange, talentSpec = GetBattlefieldScore(index) | Returns basic scoreboard information for a battleground/arena participant. Does not include battleground-specific score 
GetBattlefieldStatData | columnData = GetBattlefieldStatData(index, statIndex) | Returns battleground-specific scoreboard information for a battleground participant. Battleground-specific statistics in
GetBattlefieldStatInfo | text, icon, tooltip = GetBattlefieldStatInfo(statIndex) | Returns information about a battleground-specific scoreboard column. Battleground-specific statistics include flags capt
GetBattlefieldStatus | status, mapName, instanceID, bracketMin, bracketMax, teamSize, registeredMatch = GetBattlefieldStatus(index) | Returns information about an active or queued battleground/arena instance
GetBattlefieldTeamInfo | teamName, teamRating, newTeamRating = GetBattlefieldTeamInfo(index) | Returns info about teams and their ratings in a rated arena match.. Usable following the `UPDATE_BATTLEFIELD_SCORE` even
GetBattlefieldTimeWaited | timeInQueue = GetBattlefieldTimeWaited(index) | Returns the amount of time elapsed since the player joined the queue for a battleground/arena
GetBattlefieldVehicleInfo | vehicleX, vehicleY, unitName, isPossessed, vehicleType, orientation, isPlayer, isAlive = GetBattlefieldVehicleInfo(index) | Returns information about special vehicles in the current zone. Used only for certain vehicles in certain zones: include
GetBattlefieldWinner | winner = GetBattlefieldWinner() | Returns the winner of the current battleground or arena match
GetBattlegroundInfo | name, canEnter, isHoliday, minlevel = GetBattlegroundInfo(index) | Returns information about available battlegrounds
GetBidderAuctionItems | GetBidderAuctionItems() | Requests data from the server for the list of auctions bid on by the player. The `AUCTION_BIDDER_LIST_UPDATE` event fire
GetBillingTimeRested | time = GetBillingTimeRested() | Returns the amount of time for which the player must be offline in order to lift play time restrictions. After playing f
GetBinding | commandName, binding1, binding2 = GetBinding(index) | Returns information about a key binding
GetBindingAction | action = GetBindingAction("key" [, checkOverride]) | Returns the action bound to a key or key combination
GetBindingByKey | action = GetBindingByKey("key") | Returns the action bound to a key or key combination
GetBindingKey | key1, ... = GetBindingKey("COMMAND") | Returns the key combinations for a given binding command. Although the default UI only allows two combinations to be bou
GetBindLocation | location = GetBindLocation() | Returns the name of the player's Hearthstone location
GetBlockChance | chance = GetBlockChance() | Returns the player's percentage chance to block with a shield
GetBonusBarOffset | offset = GetBonusBarOffset() | Returns the current "stance" offset for use with the bonus action bar. This value corresponds to what "stance" the playe
GetBuildInfo | version, internalVersion, date, uiVersion = GetBuildInfo() | Returns the version information about the client
GetBuybackItemInfo | name, texture, price, quantity, numAvailable, isUsable = GetBuybackItemInfo(index) | Returns information about an item recently sold to a vendor and available to be repurchased
GetBuybackItemLink | link = GetBuybackItemLink(index) | Returns a hyperlink for an item recently sold to a vendor and available to be repurchased
GetCategoryInfo | name, parentID, flags = GetCategoryInfo(id) | Returns information about an achievement/statistic category
GetCategoryList | categories = GetCategoryList() | Returns a list of all achievement categories
GetCategoryNumAchievements | numItems, numCompleted = GetCategoryNumAchievements(id) | Returns the number of achievements/statistics to display in a category.
GetChannelDisplayInfo | name, header, collapsed, channelNumber, count, active, category, voiceEnabled, voiceActive = GetChannelDisplayInfo(index) | Returns information about an entry in the channel list display
GetChannelList | index, channel, ... = GetChannelList() | Returns the list of the channels the player has joined
GetChannelName | channel, channelName, instanceID = GetChannelName(channelIndex) or GetChannelName("channelName") | Returns information about a chat channel
GetChannelRosterInfo | name, owner, moderator, muted, active, enabled = GetChannelRosterInfo(index, rosterIndex) | Returns information about a character in a chat channel in the channel list display
GetChatTypeIndex | index = GetChatTypeIndex("messageGroup") | Returns the numeric index corresponding to a chat message type. These indices are used in the default UI to identify lin
GetChatWindowChannels | channelName, channelId, ... = GetChatWindowChannels(index) | Returns the saved list of channels to which a chat window is subscribed
GetChatWindowInfo | name, fontSize, r, g, b, alpha, shown, locked, docked, uninteractable = GetChatWindowInfo(index) | Returns the saved settings for a chat window. These values reflect the settings saved between sessions, which are used b
GetChatWindowMessages | ... = GetChatWindowMessages(index) | Returns the saved list of messages to which a chat window is subscribed
GetClickFrame | frame = GetClickFrame("name") | Returns the Frame object associated with the given name.
GetCoinIcon | icon = GetCoinIcon(amount) | Returns an icon representing an amount of money
GetCoinText | coinText = GetCoinText(amount, "separator") | Returns a localized string describing an amount of money
GetCoinTextureString | coinText = GetCoinTextureString(amount [, fontSize]) | Returns a string with embedded coin icons describing an amount of money. As in most places where money amounts are shown
GetCombatRating | rating = GetCombatRating(ratingIndex) | Returns the value of a combat rating for the player
GetCombatRatingBonus | ratingBonus = GetCombatRatingBonus(ratingIndex) | Returns the percentage effect for the player's current value of a given combat rating. Used in the default UI to show to
GetComboPoints | comboPoints = GetComboPoints("unit" [, "target"]) | Returns the player's number of combo points on the target.
GetCompanionCooldown | start, duration, enable = GetCompanionCooldown("type", index) | Returns cooldown information for a non-combat pet or mount
GetCompanionInfo | creatureID, creatureName, spellID, icon, active = GetCompanionInfo("type", index) | Returns information about a non-combat pet or mount
GetComparisonAchievementPoints | points = GetComparisonAchievementPoints() | Returns the comparison unit's total achievement points earned.
GetComparisonCategoryNumAchievements | numCompleted = GetComparisonCategoryNumAchievements(id) | Returns the number of achievements completed by the comparison unit within a category.
GetComparisonStatistic | info = GetComparisonStatistic(id) | Returns the comparison unit's data for a statistic.
GetContainerFreeSlots | slotTable = GetContainerFreeSlots(container [, returnTable]) | Returns a list of open slots in a container. The optional argument `returnTable` allows for performance optimization in 
GetContainerItemCooldown | start, duration, enable = GetContainerItemCooldown(container, slot) | Returns cooldown information about an item in the player's bags
GetContainerItemDurability | durability, max = GetContainerItemDurability(container, slot) | Returns durability status for an item in the player's bags
GetContainerItemGems | gem1, gem2, gem3 = GetContainerItemGems(container, slot) | Returns the gems socketed in an item in the player's bags. The IDs returned refer to the gems themselves (not the enchan
GetContainerItemID | id = GetContainerItemID(container, slot) | Returns the item ID of an item in the player's bags
GetContainerItemInfo | texture, count, locked, quality, readable, lootable, link = GetContainerItemInfo(container, slot) | Returns information about an item in the player's bags
GetContainerItemLink | link = GetContainerItemLink(container, slot) | Returns a hyperlink for an item in the player's bags
GetContainerItemPurchaseInfo | money, itemCount, refundSec, currecycount, hasEnchants = GetContainerItemPurchaseInfo(container, slot, IsEquipped) | Returns information about alternate currencies refunded for returning an item to vendors.
GetContainerItemPurchaseItem | texture, quantity, link = GetContainerItemPurchaseItem(container, slot, index) | Returns information about a specific currency refunded for returning an item to vendors. See `GetContainerItemPurchaseIn
GetContainerItemQuestInfo | isQuest, questId, isActive = GetContainerItemQuestInfo(container, slot) | Returns quest information about an item in the player's bags
GetContainerNumFreeSlots | freeSlots, bagType = GetContainerNumFreeSlots(container) | Returns the number of free slots in a container and the types of items it can hold
GetContainerNumSlots | numSlots = GetContainerNumSlots(container) | Returns the number of slots in one of the player's bags
GetCorpseMapPosition | corpseX, corpseY = GetCorpseMapPosition() | Returns the position of the player's corpse on the world map. Returns `0,0` if the location of the player's corpse is no
GetCorpseRecoveryDelay | timeLeft = GetCorpseRecoveryDelay() | Returns the amount of time left until the player can recover their corpse. Applies to resurrection spells offered by oth
GetCritChance | critChance = GetCritChance() | Returns the player's melee critical strike chance
GetCritChanceFromAgility | critChance = GetCritChanceFromAgility(["unit"]) | Returns additional critical strike chance provided by Agility
GetCurrencyListInfo | name, isHeader, isExpanded, isUnused, isWatched, count, extraCurrencyType, icon, itemID = GetCurrencyListInfo(index) | Returns information about a currency type (or headers in the Currency UI)
GetCurrencyListSize | numEntries = GetCurrencyListSize() | Returns the number of list entries to show in the Currency UI
GetCurrentArenaSeason | season = GetCurrentArenaSeason() | Returns a number identifying the current arena season. New arena seasons begin every few months, resetting team rankings
GetCurrentBindingSet | bindingSet = GetCurrentBindingSet() | Returns which set of key bindings is currently in use
GetCurrentGuildBankTab | GetCurrentGuildBankTab(currentTab) | Returns the currently selected guild bank tab
GetCurrentKeyBoardFocus | frame = GetCurrentKeyBoardFocus() | Returns the frame currently handling keyboard input. Typically an EditBox
GetCurrentMapAreaID | areaID = GetCurrentMapAreaID() | Returns an ID number for the current map zone.
GetCurrentMapContinent | continent = GetCurrentMapContinent() | Returns the current world map continent
GetCurrentMapDungeonLevel | level = GetCurrentMapDungeonLevel() | Returns which map image is currently selected on the world map (for zones which use more than one map image). Used in zo
GetCurrentMapZone | zone = GetCurrentMapZone() | Returns the current world map zone
GetCurrentMultisampleFormat | index = GetCurrentMultisampleFormat() | Returns the index of the currently selected multi-sample format
GetCurrentResolution | index = GetCurrentResolution() | Returns the index of the current resolution setting. For the dimensions of a resolution setting, use `GetScreenResolutio
GetCurrentTitle | currentTitle = GetCurrentTitle() | Returns the currently selected player title
GetCursorInfo | type, data, subType = GetCursorInfo() | Returns information about the contents of the cursor
GetCursorMoney | cursorMoney = GetCursorMoney() | Returns the amount of money currently on the cursor
GetCursorPosition | cursorX, cursorY = GetCursorPosition() | Returns the absolute position of the mouse cursor
GetCVarAbsoluteMin | min = GetCVarAbsoluteMin("cvar") | Returns the absolute minimum value allowed for a configuration variable
GetCVarBool | value = GetCVarBool("cvar") | Returns the value of a configuration variable in a format compatible with Lua conditional expressions. All configuration
GetCVarInfo | value, defaultValue, serverStoredAccountWide, serverStoredPerCharacter = GetCVarInfo("cvar") | Returns information about a configuration variable
GetCVarMin | min = GetCVarMin("cvar") | Returns the minimum recommended value for a configuration variable. Used in the default UI to set the lower bounds for o
GetDailyQuestsCompleted | dailyQuestsComplete = GetDailyQuestsCompleted() | Returns the number of daily quests the player has completed today. The daily quest period resets at or around 3:00 AM se
GetDamageBonusStat | bonusStat = GetDamageBonusStat() | Returns the index of the basic statistic that provides increased physical damage. Unused in the default UI.
GetDeathReleasePosition | graveyardX, graveyardY = GetDeathReleasePosition() | Returns the location of the graveyard where the player's spirit will appear upon release. Returns `0,0` if the player is
GetDodgeChance | chance = GetDodgeChance() | Returns the player's chance to dodge melee attacks
GetDungeonDifficulty | difficulty = GetDungeonDifficulty() | Returns the 5 player selected dungeon difficulty
GetEquipmentSetInfo | name, icon, setID = GetEquipmentSetInfo(index) | Returns information about an equipment set (specified by index)
GetEquipmentSetInfoByName | icon, setID = GetEquipmentSetInfoByName("name") | Returns information about an equipment set
GetEquipmentSetItemIDs | itemIDs = GetEquipmentSetItemIDs("name") | Returns a table listing the items in an equipment set
GetEquipmentSetLocations | itemIDs = GetEquipmentSetLocations("name") | Returns a table listing the locations of the items in an equipment set
geterrorhandler | handler = geterrorhandler() | Returns the current error handler function
GetEventCPUUsage | usage, numEvents = GetEventCPUUsage(["event"]) | Returns information about the CPU usage of an event. Only returns valid data if the `scriptProfile` CVar is set to 1; re
GetExistingLocales | ... = GetExistingLocales() | Returns a list of installed localization packs for the WoW client
GetExistingSocketInfo | name, texture, name = GetExistingSocketInfo(index) | Returns information about a permanently socketed gem. If the given socket contains a permanently socketed gem, returns i
GetExpertise | expertise = GetExpertise() | Returns the player's current expertise value
GetExpertisePercent | expertisePerc, offhandExpertisePercent = GetExpertisePercent() | Returns the reduction in chance to be dodged or parried conferred by the player's expertise value
GetFacialHairCustomization | token = GetFacialHairCustomization() | Returns a token used for displaying facial feature customization options. The token referred to by this function can be 
GetFactionInfo | name, description, standingID, barMin, barMax, barValue, atWarWith, canToggleAtWar, isHeader, isCollapsed, hasRep, isWatched, isChild = GetFactionInfo(index) | Returns information about a faction or header listing
GetFactionInfoByID | name, description, standingID, barMin, barMax, barValue, atWarWith, canToggleAtWar, isHeader, isCollapsed, hasRep, isWatched, isChild = GetFactionInfoByID(factionID) | Returns information about a faction or header listing. Returns information about a faction regardless of whether the fac
GetFarclip | distance = GetFarclip() | Returns the maximum distance at which terrain is drawn. Corresponds to the "View Distance" slider in the default UI's Vi
getfenv | env = getfenv([f]) or getfenv([stackLevel]) | Returns the environment for a function (or the global environment). If the environment has a `__environment` metatable, 
GetFirstTradeSkill | index = GetFirstTradeSkill() | Returns the index of the first non-header in the trade skill listing
GetFrameCPUUsage | usage, calls = GetFrameCPUUsage(frame, includeChildren) | Returns information about CPU usage by a frame's script handlers. Only returns valid data if the `scriptProfile` CVar is
GetFramerate | framerate = GetFramerate() | Returns the number of frames per second rendered by the client
GetFramesRegisteredForEvent | ... = GetFramesRegisteredForEvent("event") | Returns all frames registered for a given event
GetFriendInfo | name, level, class, area, connected, status, note, RAF = GetFriendInfo(index) | Returns information about a character on the player's friends list
GetFunctionCPUUsage | usage, calls = GetFunctionCPUUsage(function, includeSubroutines) | Returns information about CPU usage by a function. Only returns valid data if the `scriptProfile` CVar is set to 1; retu
GetGameTime | hour, minute = GetGameTime() | Returns the current realm (server) time
GetGamma | gamma = GetGamma() | Returns the current display gamma setting. Gamma value determines the contrast between lighter and darker portions of th
getglobal | value = getglobal("name") | Returns the value of a global variable. Often used in the default UI in cases where several similar names are systematic
GetGlyphLink | link = GetGlyphLink(socket, talentGroup) | Gets a hyperlink for the contents of a glyph socket.
GetGlyphSocketInfo | enabled, glyphType, glyphTooltipIndex, glyphSpell, icon = GetGlyphSocketInfo(socket, talentGroup) | Returns information about a glyph socket and its contents.
GetGMTicket | GetGMTicket() | Requests GM ticket status from the server. The `UPDATE_TICKET` event fires when data is ready.
GetGMTicketCategories | ... = GetGMTicketCategories() | Returns a list of available GM ticket categories. No longer used in the current GM Help UI.
GetGossipActiveQuests | name, level, isTrivial, ... = GetGossipActiveQuests() | Returns a list of quests which can be turned in to the current Gossip NPC. These quests are displayed with a question ma
GetGossipAvailableQuests | name, level, isTrivial, isDaily, isRepeatable, ... = GetGossipAvailableQuests() | Returns a list of quests available from the current Gossip NPC. For quests which can be turned in to the NPC, see `GetGo
GetGossipOptions | text, gossipType, ... = GetGossipOptions() | Returns a list of interaction options for the Gossip NPC
GetGossipText | text = GetGossipText() | Returns greeting or other text to be displayed in an NPC dialog
GetGreetingText | greetingText = GetGreetingText() | Returns the greeting text displayed for quest NPCs with multiple quests. Not used often; most quest NPCs offering multip
GetGroupPreviewTalentPointsSpent | pointsSpent = GetGroupPreviewTalentPointsSpent(isPet, talentGroup) | Returns the total number of points spent in the Talent UI's preview mode.
GetGuildBankItemInfo | texture, count, locked = GetGuildBankItemInfo(tab, slot) | Returns information about the contents of a guild bank item slot
GetGuildBankItemLink | item = GetGuildBankItemLink(tab, slot) | Returns a hyperlink for an item in the guild bank
GetGuildBankMoneyTransaction | type, name, year, month, day, hour = GetGuildBankMoneyTransaction(index) | Returns information about a transaction in the guild bank money log
GetGuildBankTabCost | tabCost = GetGuildBankTabCost() | Returns the cost of the next available guild bank tab
GetGuildBankTabInfo | name, icon, isViewable, canDeposit, numWithdrawals, remainingWithdrawals = GetGuildBankTabInfo(tab) | Returns information about a guild bank tab
GetGuildBankTabPermissions | canView, canDeposit, canUpdateText, numWithdrawls = GetGuildBankTabPermissions(tab) | Returns information about guild bank tab privileges for the guild rank currently being edited. Used in the default UI's 
GetGuildBankText | text = GetGuildBankText(tab) | Returns text associated with a guild bank tab. Only returns valid data after `QueryGuildBankText()` has been called to r
GetGuildBankTransaction | type, name, itemLink, count, tab1, tab2, year, month, day, hour = GetGuildBankTransaction(tab, index) | Returns information about a transaction in the log for a guild bank tab. Only returns valid information following the `G
GetGuildBankWithdrawLimit | goldWithdrawLimit = GetGuildBankWithdrawLimit() | Returns the guild bank money withdrawal limit for the guild rank currently being edited
GetGuildBankWithdrawMoney | withdrawLimit = GetGuildBankWithdrawMoney() | Returns the amount of money the player is allowed to withdraw from the guild bank per day
GetGuildCharterCost | cost = GetGuildCharterCost() | Returns the cost to purchase a guild charter. Usable if the player is interacting with a guild registrar (i.e. between t
GetGuildEventInfo | type, player1, player2, rank, year, month, day, hour = GetGuildEventInfo(index) | Returns information about an entry in the guild event log. Only returns valid data after calling `QueryGuildEventLog()` 
GetGuildInfo | guildName, guildRankName, guildRankIndex = GetGuildInfo("unit") or GetGuildInfo("name") | Returns a unit's guild affiliation
GetGuildInfoText | guildInfoText = GetGuildInfoText() | Returns guild information text. Only returns valid data after calling `GuildRoster()` and the following `GUILD_ROSTER_UP
GetGuildRosterInfo | name, rank, rankIndex, level, class, zone, note, officernote, online, status, classFileName = GetGuildRosterInfo(index) | Returns information about the selected player in your guild roster.
GetGuildRosterLastOnline | years, months, days, hours = GetGuildRosterLastOnline(index) | Returns the amount of time since a guild member was last online. Only returns valid data after calling `GuildRoster()` a
GetGuildRosterMOTD | guildMOTD = GetGuildRosterMOTD() | Returns the Message of the Day for the player's guild
GetGuildRosterSelection | index = GetGuildRosterSelection() | Returns the index of the selected member in the guild roster. Selection in the guild roster is used only for display in 
GetGuildRosterShowOffline | showOffline = GetGuildRosterShowOffline() | Returns whether the guild roster lists offline members
GetGuildTabardFileNames | tabardBackgroundUpper, tabardBackgroundLower, tabardEmblemUpper, tabardEmblemLower, tabardBorderUpper, tabardBorderLower = GetGuildTabardFileNames() | Returns the textures that comprise the player's guild tabard. Returns nil if the player is not in a guild.
GetHairCustomization | token = GetHairCustomization() | Returns a token used for displaying "hair" customization options. The token referred to by this function can be used to 
GetHolidayBGHonorCurrencyBonuses | unk, honorWinReward, arenaWinReward, honorLossReward, arenaLossReward = GetHolidayBGHonorCurrencyBonuses() | Returns the awarded honor and arena points for a Call to Arms battleground win or loss
GetHonorCurrency | honorPoints, maxHonor = GetHonorCurrency() | Returns the player's amount of honor points
GetIgnoreName | name = GetIgnoreName("index") | Returns the name of a character on the ignore list
GetInboxHeaderInfo | packageIcon, stationeryIcon, sender, subject, money, CODAmount, daysLeft, itemCount, wasRead, wasReturned, textCreated, canReply, isGM, itemQuantity = GetInboxHeaderInfo(mailID) | Returns information about a mail in the player's inbox
GetInboxInvoiceInfo | invoiceType, itemName, playerName, bid, buyout, deposit, consignment, moneyDelay, etaHour, etaMin = GetInboxInvoiceInfo(index) | Returns auction house invoice information for a mail message
GetInboxItem | name, itemTexture, count, quality, canUse = GetInboxItem(mailID, attachmentIndex) | Returns information for an item attached to a message in the player's inbox
GetInboxItemLink | itemlink = GetInboxItemLink(mailID, attachmentIndex) | Returns a hyperlink for an item attached to a mail in the player's inbox
GetInboxNumItems | numItems, totalItems = GetInboxNumItems() | Returns the number of mails in the player's inbox
GetInboxText | bodyText, texture, isTakeable, isInvoice = GetInboxText(mailID) | Returns information about the text of an inbox mail. Also marks the mail as read if it wasn't already.
GetInspectArenaTeamData | teamName, teamSize, teamRating, teamPlayed, teamWins, playerPlayed, playerRating, bg_red, bg_green, bg_blue, emblem, emblem_red, emblem_green, emblem_blue, border, border_red, border_green, border_blue = GetInspectArenaTeamData(team) | Returns arena team information about the currently inspected unit. Only available if data has been downloaded from the s
GetInspectHonorData | todayHK, todayHonor, yesterdayHK, yesterdayHonor, lifetimeHK, lifetimeRank = GetInspectHonorData() | Returns PvP honor information about the currently inspected unit. Only available if data has been downloaded from the se
GetInstanceBootTimeRemaining | timeleft = GetInstanceBootTimeRemaining() | Returns the amount of time left until the player is removed from the current instance. Used when the player is in an ins
GetInstanceDifficulty | difficulty = GetInstanceDifficulty() | Returns difficulty setting for the current dungeon/raid instance.
GetInstanceInfo | name, type, difficulty, difficultyName, maxPlayers, playerDifficulty, isDynamicInstance = GetInstanceInfo() | Returns instance information about the current area
GetInstanceLockTimeRemaining | seconds = GetInstanceLockTimeRemaining() | Returns time remaining before the player is saved to a recently entered instance.
GetInventoryAlertStatus | status = GetInventoryAlertStatus(slot) | Returns the durability warning status of an equipped item. Looking up the status returned by this function in the `INVEN
GetInventoryItemBroken | isBroken = GetInventoryItemBroken("unit", slot) | Returns whether an equipped item is broken
GetInventoryItemCooldown | start, duration, enable = GetInventoryItemCooldown("unit", slot) | Returns cooldown information about an equipped item
GetInventoryItemCount | count = GetInventoryItemCount("unit", slot) | Returns the number of items stacked in an inventory slot.
GetInventoryItemDurability | durability, max = GetInventoryItemDurability(slot) | Returns the current durability level of an equipped item. If an item does not have durability (for example, heirlooms, t
GetInventoryItemGems | gem1, gem2, gem3 = GetInventoryItemGems(slot) | Returns the gems socketed in an equipped item. The IDs returned refer to the gems themselves (not the enchantments they 
GetInventoryItemID | id = GetInventoryItemID("unit", slot) | Returns the item ID of an equipped item
GetInventoryItemLink | link = GetInventoryItemLink("unit", slot) | Returns an item link for an equipped item
GetInventoryItemQuality | quality = GetInventoryItemQuality("unit", slot) | Returns the quality level of an equipped item
GetInventoryItemsForSlot | availableItems = GetInventoryItemsForSlot(slot) | Returns a list of items that can be equipped in a given inventory slot
GetInventoryItemTexture | texture = GetInventoryItemTexture("unit", slot) | Returns the icon texture for an equipped item
GetInventorySlotInfo | id, texture, checkRelic = GetInventorySlotInfo("slotName") | Returns information about an inventory slot
GetItemCooldown | start, duration, enable = GetItemCooldown(itemID) or GetItemCooldown("itemName") or GetItemCooldown("itemLink") | Returns cooldown information about an arbitrary item
GetItemCount | itemCount = GetItemCount(itemId, includeBank, includeCharges) or GetItemCount("itemName", includeBank, includeCharges) or GetItemCount("itemLink", includeBank, includeCharges) | Returns information about how many of a given item the player has or on remaining item charges.
GetItemFamily | bagType = GetItemFamily(itemID) or GetItemFamily("itemName") or GetItemFamily("itemLink") | Returns information about special bag types that can hold a given item. The meaning of `bagType` varies depending on the
GetItemGem | name, link = GetItemGem(itemID, index) or GetItemGem("itemName", index) or GetItemGem("itemLink", index) | Returns information about gems socketed in an item
GetItemIcon | texture = GetItemIcon(itemID) or GetItemIcon("itemName") or GetItemIcon("itemLink") | Returns the path to an icon texture for the item. Unlike `GetItemInfo`, this function always returns icons for valid ite
GetItemInfo | name, link, quality, iLevel, reqLevel, class, subclass, maxStack, equipSlot, texture, vendorPrice = GetItemInfo(itemID) or GetItemInfo("itemName") or GetItemInfo("itemLink") | Returns information about an item, by name, link or id. Only returns information for items in the WoW client's local cac
GetItemQualityColor | redComponent, greenComponent, blueComponent, hexColor = GetItemQualityColor(quality) | Returns color values for use in displaying items of a given quality. Color components are floating-point values between 
GetItemSpell | name, rank = GetItemSpell(itemID) or GetItemSpell("itemName") or GetItemSpell("itemLink") | Returns information about the spell cast by an item's "Use:" effect
GetItemStatDelta | statTable = GetItemStatDelta("item1Link", "item2Link" [, returnTable]) | Returns a summary of the difference in stat bonuses between two items. Keys in the table returned are the names of globa
GetItemStats | statTable = GetItemStats("itemLink" [, returnTable]) | Returns a summary of an item's stat bonuses. Keys in the table returned are the names of global variables containing the
GetItemUniqueness | uniqueFamily, maxEquipped = GetItemUniqueness(itemID) or GetItemUniqueness("itemName") or GetItemUniqueness("itemLink") | Returns information about uniqueness restrictions for equipping an item.
GetKnownSlotFromHighestRankSlot | maxRankSlot = GetKnownSlotFromHighestRankSlot(slot) | Returns the spellbook slot for the player's highest known rank of a spell
GetLanguageByIndex | language = GetLanguageByIndex(index) | Returns the localized name of a player character language
GetLatestCompletedAchievements | ... = GetLatestCompletedAchievements() | Returns a list of the player's most recently earned achievements
GetLatestCompletedComparisonAchievements | ... = GetLatestCompletedComparisonAchievements() | Returns a list of the comparison unit's most recently earned achievements
GetLatestThreeSenders | sender1, sender2, sender3 = GetLatestThreeSenders() | Returns the names of the last three senders of new mail. Returns sender names for new messages which the player has not 
GetLatestUpdatedComparisonStats | ... = GetLatestUpdatedComparisonStats() | Returns a list of the comparison unit's latest updated statistics.
GetLatestUpdatedStats | ... = GetLatestUpdatedStats() | Returns a list of the player's latest updated statistics.
GetLFGCompletionReward | name, typeID, textureFilename, moneyBase, moneyVar, experienceBase, experienceVar, numStrangers, numRewards = GetLFGCompletionReward() | Returns the various rewards for a completed LFG dungeon
GetLFGMode | mode, submode = GetLFGMode() | Provides information about the LFG status of the player.
GetLFGProposal | GetLFGProposal() | Returns info about the currently pending LFD operation
GetLFGRoles | leader, tank, healer, damage = GetLFGRoles() | Returns the group roles for which the player has signed up in the LFG system
GetLFGTypes | ... = GetLFGTypes() | Returns a list of LFG query types
GetLocale | locale = GetLocale() | Returns a code indicating the localization currently in use by the client
GetLootMethod | method, partyMaster, raidMaster = GetLootMethod() | Returns information about the current loot method in a party or raid. Only returns useful information if the player is i
GetLootRollItemInfo | texture, name, count, quality, bindOnPickUp = GetLootRollItemInfo(id) | Returns information about an item currently up for loot rolling
GetLootRollItemLink | link = GetLootRollItemLink(id) | Returns a hyperlink for an item currently up for loot rolling
GetLootRollTimeLeft | timeLeft = GetLootRollTimeLeft(id) | Returns the amount of time remaining before loot rolling for an item expires. When the time expires, all group members w
GetLootSlotInfo | texture, item, quantity, quality, locked = GetLootSlotInfo(slot) | Returns a hyperlink for an item available as loot
